nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d009913	NA	brown
Zm00001d009960	NA	brown
Zm00001d009964	NA	brown
Zm00001d010017	NA	brown
Zm00001d010054	NA	brown
Zm00001d010093	NA	brown
Zm00001d010094	NA	brown
Zm00001d010113	NA	brown
Zm00001d010121	NA	brown
Zm00001d010143	NA	brown
Zm00001d010162	NA	brown
Zm00001d010196	NA	brown
Zm00001d010248	NA	brown
Zm00001d010270	NA	brown
Zm00001d010292	NA	brown
Zm00001d010319	NA	brown
Zm00001d010339	NA	brown
Zm00001d010373	NA	brown
Zm00001d010390	NA	brown
Zm00001d010404	NA	brown
Zm00001d010436	NA	brown
Zm00001d010459	NA	brown
Zm00001d010478	NA	brown
Zm00001d010543	NA	brown
Zm00001d010553	NA	brown
Zm00001d010607	NA	brown
Zm00001d010616	NA	brown
Zm00001d010649	NA	brown
Zm00001d010698	NA	brown
Zm00001d010730	NA	brown
Zm00001d010733	NA	brown
Zm00001d010737	NA	brown
Zm00001d010743	NA	brown
Zm00001d010759	NA	brown
Zm00001d010771	NA	brown
Zm00001d010786	NA	brown
Zm00001d010787	NA	brown
Zm00001d010811	NA	brown
Zm00001d010814	NA	brown
Zm00001d010854	NA	brown
Zm00001d010965	NA	brown
Zm00001d010978	NA	brown
Zm00001d010993	NA	brown
Zm00001d011173	NA	brown
Zm00001d011189	NA	brown
Zm00001d011207	NA	brown
Zm00001d011239	NA	brown
Zm00001d011269	NA	brown
Zm00001d011287	NA	brown
Zm00001d011294	NA	brown
Zm00001d011334	NA	brown
Zm00001d011382	NA	brown
Zm00001d011386	NA	brown
Zm00001d011387	NA	brown
Zm00001d011395	NA	brown
Zm00001d011422	NA	brown
Zm00001d011436	NA	brown
Zm00001d011451	NA	brown
Zm00001d011543	NA	brown
Zm00001d011567	NA	brown
Zm00001d011570	NA	brown
Zm00001d011585	NA	brown
Zm00001d011711	NA	brown
Zm00001d011716	NA	brown
Zm00001d011752	NA	brown
Zm00001d011811	NA	brown
Zm00001d011850	NA	brown
Zm00001d011965	NA	brown
Zm00001d012036	NA	brown
Zm00001d012091	NA	brown
Zm00001d012178	NA	brown
Zm00001d012208	NA	brown
Zm00001d012252	NA	brown
Zm00001d012265	NA	brown
Zm00001d012293	NA	brown
Zm00001d012313	NA	brown
Zm00001d012357	NA	brown
Zm00001d012359	NA	brown
Zm00001d012361	NA	brown
Zm00001d012393	NA	brown
Zm00001d012473	NA	brown
Zm00001d012484	NA	brown
Zm00001d012520	NA	brown
Zm00001d012578	NA	brown
Zm00001d012646	NA	brown
Zm00001d012712	NA	brown
Zm00001d012736	NA	brown
Zm00001d012907	NA	brown
Zm00001d012935	NA	brown
Zm00001d012939	NA	brown
Zm00001d012967	NA	brown
Zm00001d012981	NA	brown
Zm00001d013050	NA	brown
Zm00001d013142	NA	brown
Zm00001d013188	NA	brown
Zm00001d013199	NA	brown
Zm00001d013201	NA	brown
Zm00001d013214	NA	brown
Zm00001d013264	NA	brown
Zm00001d013271	NA	brown
Zm00001d013501	NA	brown
Zm00001d013517	NA	brown
Zm00001d013565	NA	brown
Zm00001d013621	NA	brown
Zm00001d013658	NA	brown
Zm00001d013659	NA	brown
Zm00001d013711	NA	brown
Zm00001d013782	NA	brown
Zm00001d013855	NA	brown
Zm00001d013875	NA	brown
Zm00001d013887	NA	brown
Zm00001d013899	NA	brown
Zm00001d013943	NA	brown
Zm00001d013968	NA	brown
Zm00001d013984	NA	brown
Zm00001d014093	NA	brown
Zm00001d014135	NA	brown
Zm00001d014142	NA	brown
Zm00001d014143	NA	brown
Zm00001d014168	NA	brown
Zm00001d014185	NA	brown
Zm00001d014236	NA	brown
Zm00001d014261	NA	brown
Zm00001d014271	NA	brown
Zm00001d014328	NA	brown
Zm00001d014356	NA	brown
Zm00001d014567	NA	brown
Zm00001d014596	NA	brown
Zm00001d014616	NA	brown
Zm00001d014632	NA	brown
Zm00001d014688	NA	brown
Zm00001d014778	NA	brown
Zm00001d014794	NA	brown
Zm00001d014842	NA	brown
Zm00001d015011	NA	brown
Zm00001d015028	NA	brown
Zm00001d015032	NA	brown
Zm00001d015050	NA	brown
Zm00001d015093	NA	brown
Zm00001d015285	NA	brown
Zm00001d015320	NA	brown
Zm00001d015341	NA	brown
Zm00001d015432	NA	brown
Zm00001d015433	NA	brown
Zm00001d015434	NA	brown
Zm00001d015497	NA	brown
Zm00001d015504	NA	brown
Zm00001d015508	NA	brown
Zm00001d015536	NA	brown
Zm00001d015538	NA	brown
Zm00001d015588	NA	brown
Zm00001d015653	NA	brown
Zm00001d015709	NA	brown
Zm00001d015822	NA	brown
Zm00001d015851	NA	brown
Zm00001d015930	NA	brown
Zm00001d015986	NA	brown
Zm00001d015990	NA	brown
Zm00001d016100	NA	brown
Zm00001d016101	NA	brown
Zm00001d016167	NA	brown
Zm00001d016206	NA	brown
Zm00001d016207	NA	brown
Zm00001d016235	NA	brown
Zm00001d016237	NA	brown
Zm00001d016357	NA	brown
Zm00001d016406	NA	brown
Zm00001d016431	NA	brown
Zm00001d016445	NA	brown
Zm00001d016448	NA	brown
Zm00001d016456	NA	brown
Zm00001d016471	NA	brown
Zm00001d016553	NA	brown
Zm00001d016570	NA	brown
Zm00001d016662	NA	brown
Zm00001d016705	NA	brown
Zm00001d016740	NA	brown
Zm00001d016802	NA	brown
Zm00001d016822	NA	brown
Zm00001d016854	NA	brown
Zm00001d016907	NA	brown
Zm00001d016916	NA	brown
Zm00001d016932	NA	brown
Zm00001d016961	NA	brown
Zm00001d016969	NA	brown
Zm00001d017002	NA	brown
Zm00001d017027	NA	brown
Zm00001d017120	NA	brown
Zm00001d017130	NA	brown
Zm00001d017140	NA	brown
Zm00001d017189	NA	brown
Zm00001d017254	NA	brown
Zm00001d017281	NA	brown
Zm00001d017335	NA	brown
Zm00001d017354	NA	brown
Zm00001d017380	NA	brown
Zm00001d017389	NA	brown
Zm00001d017427	NA	brown
Zm00001d017438	NA	brown
Zm00001d017449	NA	brown
Zm00001d017451	NA	brown
Zm00001d017453	NA	brown
Zm00001d017495	NA	brown
Zm00001d017507	NA	brown
Zm00001d017704	NA	brown
Zm00001d017715	NA	brown
Zm00001d017766	NA	brown
Zm00001d017770	NA	brown
Zm00001d017787	NA	brown
Zm00001d017798	NA	brown
Zm00001d017836	NA	brown
Zm00001d017845	NA	brown
Zm00001d017859	NA	brown
Zm00001d017876	NA	brown
Zm00001d017899	NA	brown
Zm00001d017954	NA	brown
Zm00001d017981	NA	brown
Zm00001d018003	NA	brown
Zm00001d018006	NA	brown
Zm00001d018082	NA	brown
Zm00001d018084	NA	brown
Zm00001d018093	NA	brown
Zm00001d018142	NA	brown
Zm00001d018152	NA	brown
Zm00001d018184	NA	brown
Zm00001d018233	NA	brown
Zm00001d018234	NA	brown
Zm00001d018276	NA	brown
Zm00001d018350	NA	brown
Zm00001d018452	NA	brown
Zm00001d018455	NA	brown
Zm00001d018570	NA	brown
Zm00001d018593	NA	brown
Zm00001d018607	NA	brown
Zm00001d018655	NA	brown
Zm00001d018690	NA	brown
Zm00001d018709	NA	brown
