fromNode	toNode	weight	direction	fromAltName	toAltName
Zm00001d001781	Zm00001d001902	0.00204821141931961	undirected	NA	NA
Zm00001d001781	Zm00001d001914	0.000391637783106673	undirected	NA	NA
Zm00001d001781	Zm00001d001926	0.000764043072438103	undirected	NA	NA
Zm00001d001781	Zm00001d001973	0.00051908354325769	undirected	NA	NA
Zm00001d001781	Zm00001d002160	0.000975826325179214	undirected	NA	NA
Zm00001d001781	Zm00001d002239	0.00161676117343795	undirected	NA	NA
Zm00001d001781	Zm00001d002305	1.30270836691789e-05	undirected	NA	NA
Zm00001d001781	Zm00001d002314	0.00328727450174607	undirected	NA	NA
Zm00001d001781	Zm00001d002317	0.00119704366055903	undirected	NA	NA
Zm00001d001781	Zm00001d002350	0.000503877880828846	undirected	NA	NA
Zm00001d001781	Zm00001d002383	0.00047375955838493	undirected	NA	NA
Zm00001d001781	Zm00001d002432	0.000724540924482539	undirected	NA	NA
Zm00001d001781	Zm00001d002492	0.000410730301757504	undirected	NA	NA
Zm00001d001781	Zm00001d002506	0.00247943423263077	undirected	NA	NA
Zm00001d001781	Zm00001d002613	0.00100359781479203	undirected	NA	NA
Zm00001d001781	Zm00001d002750	0.00176423912187587	undirected	NA	NA
Zm00001d001781	Zm00001d002751	0.00148614663048801	undirected	NA	NA
Zm00001d001781	Zm00001d002854	0.00179643587585919	undirected	NA	NA
Zm00001d001781	Zm00001d002875	0.00134588087475762	undirected	NA	NA
Zm00001d001781	Zm00001d003118	0.00389734682887103	undirected	NA	NA
Zm00001d001781	Zm00001d003524	0.00233305376172748	undirected	NA	NA
Zm00001d001781	Zm00001d003636	0.000144669043048484	undirected	NA	NA
Zm00001d001781	Zm00001d003637	0.000121445952261994	undirected	NA	NA
Zm00001d001781	Zm00001d003646	0.000794768449548384	undirected	NA	NA
Zm00001d001781	Zm00001d003669	0.000869049324122904	undirected	NA	NA
Zm00001d001781	Zm00001d003705	0.000603213589105281	undirected	NA	NA
Zm00001d001781	Zm00001d003719	0.00219597841564756	undirected	NA	NA
Zm00001d001781	Zm00001d003774	0.00115739607722002	undirected	NA	NA
Zm00001d001781	Zm00001d003781	0.00021119614806833	undirected	NA	NA
Zm00001d001781	Zm00001d003865	0.000144045893248057	undirected	NA	NA
Zm00001d001781	Zm00001d003969	0.00103878065647822	undirected	NA	NA
Zm00001d001781	Zm00001d003982	0.00588705310989595	undirected	NA	NA
Zm00001d001781	Zm00001d004018	0.000821625329409815	undirected	NA	NA
Zm00001d001781	Zm00001d004168	0.00944390678079214	undirected	NA	NA
Zm00001d001781	Zm00001d004245	0.000866439209840033	undirected	NA	NA
Zm00001d001781	Zm00001d004347	0.0011472801086129	undirected	NA	NA
Zm00001d001781	Zm00001d004365	0.000903800135919664	undirected	NA	NA
Zm00001d001781	Zm00001d004434	2.38061459996971e-06	undirected	NA	NA
Zm00001d001781	Zm00001d004440	0.00132423341523582	undirected	NA	NA
Zm00001d001781	Zm00001d004463	0.00469379344606051	undirected	NA	NA
Zm00001d001781	Zm00001d004519	0.000761125953028374	undirected	NA	NA
Zm00001d001781	Zm00001d004607	0.000780259373981486	undirected	NA	NA
Zm00001d001781	Zm00001d004652	0.000487522097428712	undirected	NA	NA
Zm00001d001781	Zm00001d004815	0.000139658966281745	undirected	NA	NA
Zm00001d001781	Zm00001d004854	0.000227136861502496	undirected	NA	NA
Zm00001d001781	Zm00001d004951	0.000745727173883802	undirected	NA	NA
Zm00001d001781	Zm00001d005561	0.000609846212188464	undirected	NA	NA
Zm00001d001781	Zm00001d005629	0.00525679694056752	undirected	NA	NA
Zm00001d001781	Zm00001d005639	0.000838325156610457	undirected	NA	NA
Zm00001d001781	Zm00001d005668	0.000812346168504136	undirected	NA	NA
Zm00001d001781	Zm00001d005778	0.00353878861897264	undirected	NA	NA
Zm00001d001781	Zm00001d005838	0.00289343895093389	undirected	NA	NA
Zm00001d001781	Zm00001d005946	0.00406695320072968	undirected	NA	NA
Zm00001d001781	Zm00001d006170	0.00132377885373533	undirected	NA	NA
Zm00001d001781	Zm00001d006172	2.28605081307142e-05	undirected	NA	NA
Zm00001d001781	Zm00001d006248	0.0054335682213603	undirected	NA	NA
Zm00001d001781	Zm00001d006293	0.00798974306587797	undirected	NA	NA
Zm00001d001781	Zm00001d006386	0.00367918104216268	undirected	NA	NA
Zm00001d001781	Zm00001d006494	0.000276121185437867	undirected	NA	NA
Zm00001d001781	Zm00001d006589	9.38200366277542e-05	undirected	NA	NA
Zm00001d001781	Zm00001d006690	0.000495087297015755	undirected	NA	NA
Zm00001d001781	Zm00001d006692	0.000917625191726817	undirected	NA	NA
Zm00001d001781	Zm00001d006739	0.00109554258308752	undirected	NA	NA
Zm00001d001781	Zm00001d006833	0.000135874621464519	undirected	NA	NA
Zm00001d001781	Zm00001d006857	0.000162924620105512	undirected	NA	NA
Zm00001d001781	Zm00001d007077	0.0178968763896475	undirected	NA	NA
Zm00001d001781	Zm00001d007078	0.000412170038298807	undirected	NA	NA
Zm00001d001781	Zm00001d007093	0.0044283083511605	undirected	NA	NA
Zm00001d001781	Zm00001d007106	0.000878348411030116	undirected	NA	NA
Zm00001d001781	Zm00001d007135	0.00336830920490938	undirected	NA	NA
Zm00001d001781	Zm00001d007142	0.00293035315820152	undirected	NA	NA
Zm00001d001781	Zm00001d007190	0.000463016277072483	undirected	NA	NA
Zm00001d001781	Zm00001d007210	0.00414188322341292	undirected	NA	NA
Zm00001d001781	Zm00001d007315	0.000735451512489663	undirected	NA	NA
Zm00001d001781	Zm00001d007375	0.000795995926678656	undirected	NA	NA
Zm00001d001781	Zm00001d007427	2.31698829892302e-05	undirected	NA	NA
Zm00001d001781	Zm00001d007487	0.000813835761278877	undirected	NA	NA
Zm00001d001781	Zm00001d007488	0.00107818457633343	undirected	NA	NA
Zm00001d001781	Zm00001d007542	0.00321993667859664	undirected	NA	NA
Zm00001d001781	Zm00001d007720	0.00185679900768773	undirected	NA	NA
Zm00001d001781	Zm00001d007743	7.17607848770906e-05	undirected	NA	NA
Zm00001d001781	Zm00001d007793	0.000410664960832944	undirected	NA	NA
Zm00001d001781	Zm00001d007918	0.00155771707103133	undirected	NA	NA
Zm00001d001781	Zm00001d007931	0.000123280415430701	undirected	NA	NA
Zm00001d001781	Zm00001d008269	0.000796327011870736	undirected	NA	NA
Zm00001d001781	Zm00001d008359	0.0011164595350253	undirected	NA	NA
Zm00001d001781	Zm00001d008541	0.00146882396748857	undirected	NA	NA
Zm00001d001781	Zm00001d008638	0.000762439826640381	undirected	NA	NA
Zm00001d001781	Zm00001d008645	0.00125957051200261	undirected	NA	NA
Zm00001d001781	Zm00001d008797	0.000507263919276081	undirected	NA	NA
Zm00001d001781	Zm00001d008852	0.00501866904121328	undirected	NA	NA
Zm00001d001781	Zm00001d008882	0.000225847110110278	undirected	NA	NA
Zm00001d001781	Zm00001d009028	0.000751358604245093	undirected	NA	NA
Zm00001d001781	Zm00001d009063	0.000321908626344431	undirected	NA	NA
Zm00001d001781	Zm00001d009144	0.00174162147255079	undirected	NA	NA
Zm00001d001781	Zm00001d009158	0.000888997823799175	undirected	NA	NA
Zm00001d001781	Zm00001d009288	0.00144061909702943	undirected	NA	NA
Zm00001d001781	Zm00001d009343	0.000131459047720729	undirected	NA	NA
Zm00001d001781	Zm00001d009423	0.000171648843978327	undirected	NA	NA
Zm00001d001781	Zm00001d009583	5.50944884739581e-05	undirected	NA	NA
Zm00001d001781	Zm00001d009771	0.000377090511890181	undirected	NA	NA
Zm00001d001781	Zm00001d009777	0.000645798600307075	undirected	NA	NA
Zm00001d001781	Zm00001d009794	0.00193972993395116	undirected	NA	NA
Zm00001d001781	Zm00001d009856	8.74395835361483e-05	undirected	NA	NA
Zm00001d001781	Zm00001d009895	0.000388823686824978	undirected	NA	NA
Zm00001d001781	Zm00001d010034	0.00175157637672527	undirected	NA	NA
Zm00001d001781	Zm00001d010048	0.00165067488777959	undirected	NA	NA
Zm00001d001781	Zm00001d010106	0.00148598902755504	undirected	NA	NA
Zm00001d001781	Zm00001d010141	0.00080569330970058	undirected	NA	NA
Zm00001d001781	Zm00001d010199	0.00187587970302237	undirected	NA	NA
Zm00001d001781	Zm00001d010221	0.00231570997763614	undirected	NA	NA
Zm00001d001781	Zm00001d010300	0.00234340789924589	undirected	NA	NA
Zm00001d001781	Zm00001d010352	0.000466335964670846	undirected	NA	NA
Zm00001d001781	Zm00001d010393	0.00349635918936332	undirected	NA	NA
Zm00001d001781	Zm00001d010408	0.00212188969187412	undirected	NA	NA
Zm00001d001781	Zm00001d010516	0.00105746582838467	undirected	NA	NA
Zm00001d001781	Zm00001d010577	0.000469933302673902	undirected	NA	NA
Zm00001d001781	Zm00001d010617	0.000103109337163231	undirected	NA	NA
Zm00001d001781	Zm00001d010640	0.000302480059765168	undirected	NA	NA
Zm00001d001781	Zm00001d010882	0.00178929722564658	undirected	NA	NA
Zm00001d001781	Zm00001d010883	0.00194015570389842	undirected	NA	NA
Zm00001d001781	Zm00001d010894	0.000271659218817353	undirected	NA	NA
Zm00001d001781	Zm00001d010909	0.00286071046485011	undirected	NA	NA
Zm00001d001781	Zm00001d011152	0.00313356061445815	undirected	NA	NA
Zm00001d001781	Zm00001d011326	0.00225808075619522	undirected	NA	NA
Zm00001d001781	Zm00001d011328	0.00707788650764364	undirected	NA	NA
Zm00001d001781	Zm00001d011340	0.00254264745058095	undirected	NA	NA
Zm00001d001781	Zm00001d011370	0.00278333010310364	undirected	NA	NA
Zm00001d001781	Zm00001d011421	0.000108946246495324	undirected	NA	NA
Zm00001d001781	Zm00001d011525	0.00162428945520836	undirected	NA	NA
Zm00001d001781	Zm00001d011550	0.00150222443571595	undirected	NA	NA
Zm00001d001781	Zm00001d011709	0.00115597228437	undirected	NA	NA
Zm00001d001781	Zm00001d011717	0.00467542059435971	undirected	NA	NA
Zm00001d001781	Zm00001d011874	0.00121859364287748	undirected	NA	NA
Zm00001d001781	Zm00001d011915	0.000882481255189265	undirected	NA	NA
Zm00001d001781	Zm00001d011952	0.00244845989700954	undirected	NA	NA
Zm00001d001781	Zm00001d012073	0.00163659860305249	undirected	NA	NA
Zm00001d001781	Zm00001d012116	0.00181804777564443	undirected	NA	NA
Zm00001d001781	Zm00001d012154	0.00217241290381108	undirected	NA	NA
Zm00001d001781	Zm00001d012162	0.000821976320597383	undirected	NA	NA
Zm00001d001781	Zm00001d012229	0.000497078237105683	undirected	NA	NA
Zm00001d001781	Zm00001d012322	0.00061070790614771	undirected	NA	NA
Zm00001d001781	Zm00001d012451	0.000259377614574251	undirected	NA	NA
Zm00001d001781	Zm00001d012515	0.00044006234656729	undirected	NA	NA
Zm00001d001781	Zm00001d012573	0.0011997836885349	undirected	NA	NA
Zm00001d001781	Zm00001d012640	0.013878947437784	undirected	NA	NA
Zm00001d001781	Zm00001d012656	0.00660348065550158	undirected	NA	NA
Zm00001d001781	Zm00001d012706	0.00645116261755231	undirected	NA	NA
Zm00001d001781	Zm00001d012764	0.000401687079379401	undirected	NA	NA
Zm00001d001781	Zm00001d012913	0.000458895927776681	undirected	NA	NA
Zm00001d001781	Zm00001d012924	0.000381061847950562	undirected	NA	NA
Zm00001d001781	Zm00001d012956	0.000867665269242135	undirected	NA	NA
Zm00001d001781	Zm00001d013002	0.000181727610790586	undirected	NA	NA
Zm00001d001781	Zm00001d013052	0.00121007264617852	undirected	NA	NA
Zm00001d001781	Zm00001d013063	0.00185658548860449	undirected	NA	NA
Zm00001d001781	Zm00001d013103	0.00215454542843648	undirected	NA	NA
Zm00001d001781	Zm00001d013113	0.00450877515888835	undirected	NA	NA
Zm00001d001781	Zm00001d013393	0.0024300539022863	undirected	NA	NA
Zm00001d001781	Zm00001d013411	0.00868731898690762	undirected	NA	NA
Zm00001d001781	Zm00001d013448	4.22280918948842e-05	undirected	NA	NA
Zm00001d001781	Zm00001d013473	0.000280772307477546	undirected	NA	NA
Zm00001d001781	Zm00001d013500	0.00114297383679533	undirected	NA	NA
Zm00001d001781	Zm00001d013550	0.00108529686384836	undirected	NA	NA
Zm00001d001781	Zm00001d013599	0.000573705665405551	undirected	NA	NA
Zm00001d001781	Zm00001d013713	0.00416834735914657	undirected	NA	NA
Zm00001d001781	Zm00001d013733	0.00316386949304521	undirected	NA	NA
Zm00001d001781	Zm00001d013771	0.00486985353594388	undirected	NA	NA
Zm00001d001781	Zm00001d013893	0.000221911799684069	undirected	NA	NA
Zm00001d001781	Zm00001d013894	0.00163626385387364	undirected	NA	NA
Zm00001d001781	Zm00001d013912	0.000570598753525279	undirected	NA	NA
Zm00001d001781	Zm00001d014108	0.000989241793316203	undirected	NA	NA
Zm00001d001781	Zm00001d014216	0.00192225619375402	undirected	NA	NA
Zm00001d001781	Zm00001d014235	8.69580686950521e-06	undirected	NA	NA
Zm00001d001781	Zm00001d014369	0.00187551724593853	undirected	NA	NA
Zm00001d001781	Zm00001d014527	0.00260049423037804	undirected	NA	NA
Zm00001d001781	Zm00001d014528	0.0022375096629036	undirected	NA	NA
Zm00001d001781	Zm00001d014697	0.000137576182947602	undirected	NA	NA
Zm00001d001781	Zm00001d014850	0.00199300346042672	undirected	NA	NA
Zm00001d001781	Zm00001d014875	4.04757764992054e-05	undirected	NA	NA
Zm00001d001781	Zm00001d014915	0.000969990332383577	undirected	NA	NA
Zm00001d001781	Zm00001d015002	0.000249263263560757	undirected	NA	NA
Zm00001d001781	Zm00001d015091	0.000165851910970611	undirected	NA	NA
Zm00001d001781	Zm00001d015191	0.000155664810152142	undirected	NA	NA
Zm00001d001781	Zm00001d015211	0.00244663665462798	undirected	NA	NA
Zm00001d001781	Zm00001d015239	0.00524427824005138	undirected	NA	NA
Zm00001d001781	Zm00001d015284	0.000528979852476002	undirected	NA	NA
Zm00001d001781	Zm00001d015444	0.00227664080389948	undirected	NA	NA
Zm00001d001781	Zm00001d015610	0.00228811460204547	undirected	NA	NA
Zm00001d001781	Zm00001d015636	0.00340361144110558	undirected	NA	NA
Zm00001d001781	Zm00001d015674	7.892500230934e-05	undirected	NA	NA
Zm00001d001781	Zm00001d015676	0.000322828761474651	undirected	NA	NA
Zm00001d001781	Zm00001d015677	0.000842030260900558	undirected	NA	NA
Zm00001d001781	Zm00001d015757	0.00149867425183166	undirected	NA	NA
Zm00001d001781	Zm00001d015789	0.00225084669887428	undirected	NA	NA
Zm00001d001781	Zm00001d015860	0.00300760937701134	undirected	NA	NA
Zm00001d001781	Zm00001d015906	2.88265605056279e-05	undirected	NA	NA
Zm00001d001781	Zm00001d016299	0.0186132211732126	undirected	NA	NA
Zm00001d001781	Zm00001d016433	0.00447410429051724	undirected	NA	NA
Zm00001d001781	Zm00001d016533	0.00159864363673347	undirected	NA	NA
Zm00001d001781	Zm00001d016704	0.000111030654653909	undirected	NA	NA
Zm00001d001781	Zm00001d016993	0.00152561754394949	undirected	NA	NA
Zm00001d001781	Zm00001d017112	0.00170060197469246	undirected	NA	NA
Zm00001d001781	Zm00001d017134	0.00431590767921334	undirected	NA	NA
Zm00001d001781	Zm00001d017347	0.00498800169483394	undirected	NA	NA
Zm00001d001781	Zm00001d017547	0.00141321134531197	undirected	NA	NA
Zm00001d001781	Zm00001d017655	0.00240215785329594	undirected	NA	NA
Zm00001d001781	Zm00001d017865	0.000130915231053261	undirected	NA	NA
Zm00001d001781	Zm00001d017903	0.00146568845503809	undirected	NA	NA
