nodeName	altName	nodeAttr[nodesPresent, ]
Zm00001d006922	NA	turquoise
Zm00001d007034	NA	turquoise
Zm00001d007047	NA	turquoise
Zm00001d007069	NA	turquoise
Zm00001d007112	NA	turquoise
Zm00001d007157	NA	turquoise
Zm00001d007187	NA	turquoise
Zm00001d007195	NA	turquoise
Zm00001d007208	NA	turquoise
Zm00001d007248	NA	turquoise
Zm00001d007258	NA	turquoise
Zm00001d007264	NA	turquoise
Zm00001d007268	NA	turquoise
Zm00001d007269	NA	turquoise
Zm00001d007290	NA	turquoise
Zm00001d007343	NA	turquoise
Zm00001d007350	NA	turquoise
Zm00001d007366	NA	turquoise
Zm00001d007396	NA	turquoise
Zm00001d007403	NA	turquoise
Zm00001d007451	NA	turquoise
Zm00001d007464	NA	turquoise
Zm00001d007593	NA	turquoise
Zm00001d007624	NA	turquoise
Zm00001d007697	NA	turquoise
Zm00001d007698	NA	turquoise
Zm00001d007706	NA	turquoise
Zm00001d007712	NA	turquoise
Zm00001d007713	NA	turquoise
Zm00001d007750	NA	turquoise
Zm00001d007753	NA	turquoise
Zm00001d007773	NA	turquoise
Zm00001d007781	NA	turquoise
Zm00001d007876	NA	turquoise
Zm00001d007886	NA	turquoise
Zm00001d007892	NA	turquoise
Zm00001d007899	NA	turquoise
Zm00001d007911	NA	turquoise
Zm00001d007952	NA	turquoise
Zm00001d007971	NA	turquoise
Zm00001d007977	NA	turquoise
Zm00001d008194	NA	turquoise
Zm00001d008199	NA	turquoise
Zm00001d008285	NA	turquoise
Zm00001d008305	NA	turquoise
Zm00001d008323	NA	turquoise
Zm00001d008363	NA	turquoise
Zm00001d008379	NA	turquoise
Zm00001d008381	NA	turquoise
Zm00001d008406	NA	turquoise
Zm00001d008462	NA	turquoise
Zm00001d008468	NA	turquoise
Zm00001d008524	NA	turquoise
Zm00001d008525	NA	turquoise
Zm00001d008528	NA	turquoise
Zm00001d008584	NA	turquoise
Zm00001d008633	NA	turquoise
Zm00001d008716	NA	turquoise
Zm00001d008733	NA	turquoise
Zm00001d008764	NA	turquoise
Zm00001d008785	NA	turquoise
Zm00001d008796	NA	turquoise
Zm00001d008816	NA	turquoise
Zm00001d008837	NA	turquoise
Zm00001d008850	NA	turquoise
Zm00001d008891	NA	turquoise
Zm00001d008898	NA	turquoise
Zm00001d008956	NA	turquoise
Zm00001d008990	NA	turquoise
Zm00001d009017	NA	turquoise
Zm00001d009022	NA	turquoise
Zm00001d009049	NA	turquoise
Zm00001d009116	NA	turquoise
Zm00001d009187	NA	turquoise
Zm00001d009248	NA	turquoise
Zm00001d009376	NA	turquoise
Zm00001d009382	NA	turquoise
Zm00001d009409	NA	turquoise
Zm00001d009448	NA	turquoise
Zm00001d009469	NA	turquoise
Zm00001d009568	NA	turquoise
Zm00001d009589	NA	turquoise
Zm00001d009602	NA	turquoise
Zm00001d009603	NA	turquoise
Zm00001d009706	NA	turquoise
Zm00001d009735	NA	turquoise
Zm00001d009790	NA	turquoise
Zm00001d009814	NA	turquoise
Zm00001d009939	NA	turquoise
Zm00001d009999	NA	turquoise
Zm00001d010025	NA	turquoise
Zm00001d010049	NA	turquoise
Zm00001d010108	NA	turquoise
Zm00001d010180	NA	turquoise
Zm00001d010185	NA	turquoise
Zm00001d010198	NA	turquoise
Zm00001d010230	NA	turquoise
Zm00001d010249	NA	turquoise
Zm00001d010265	NA	turquoise
Zm00001d010313	NA	turquoise
